rollout/exploration_rate,time/time_elapsed,rollout/ep_rew_mean,time/fps,rollout/ep_len_mean,time/episodes,time/total_timesteps,train/n_updates,train/learning_rate,train/loss,eval/mean_ep_length,eval/mean_reward
0.05,15254,78.70372491,128,1118.01,3128,1960866,477716,0.0001,0.26880693435668945,,
0.05,15269,76.22433103,128,1126.56,3132,1963919,478479,0.0001,0.169095978140831,,
0.05,15293,82.95366976999999,128,1099.63,3136,1968183,479545,0.0001,1.0501627922058105,,
0.05,15322,93.36985725000001,128,1078.46,3140,1973087,480771,0.0001,1.3438332080841064,,
0.05,15337,103.37554022,128,1035.04,3144,1976371,481592,0.0001,3.5954856872558594,,
0.05,15351,103.87452246,128,1029.64,3148,1979336,482333,0.0001,1.302623987197876,,
0.05,15360,109.43571812999998,129,1010.56,3152,1981864,482965,0.0001,1.3536657094955444,,
0.05,15377,118.60915994000001,129,975.53,3156,1985442,483860,0.0001,1.1361795663833618,,
0.05,15404,117.1672416,129,985.3,3160,1990418,485104,0.0001,1.5695909261703491,,
0.05,15426,116.93575274000001,129,989.75,3164,1994321,486080,0.0001,0.20367413759231567,,
0.05,15433,115.83625545999999,129,991.34,3168,1996586,486646,0.0001,1.7657201290130615,,
0.05,,,,,,2000000,487499,0.0001,0.2361319363117218,1416.0,51.75279107794453
0.05,15486,115.3163933,129,991.99,3172,2000835,487708,0.0001,0.21895509958267212,,
0.05,15499,113.49752217999998,129,981.97,3176,2004079,488519,0.0001,0.21929249167442322,,
0.05,15510,109.39480770000002,129,979.75,3180,2006612,489152,0.0001,1.9081449508666992,,
0.05,15525,107.60394849000001,129,991.69,3184,2010049,490012,0.0001,1.5259078741073608,,
0.05,15540,106.48497894,129,998.79,3188,2014062,491015,0.0001,0.3089224398136139,,
0.05,15556,106.44351024,129,979.92,3192,2017417,491854,0.0001,0.24308016896247864,,
0.05,15559,100.67213808000001,129,966.27,3196,2018304,492075,0.0001,0.13911354541778564,,
0.05,15559,93.54904791999999,129,925.13,3200,2018619,492154,0.0001,0.5141745805740356,,
0.05,15571,97.26818033,129,889.06,3204,2021500,492874,0.0001,2.3311662673950195,,
0.05,15587,94.21080023999998,129,883.1,3208,2024672,493667,0.0001,0.33525413274765015,,
0.05,15594,95.94324412999997,129,840.04,3212,2026391,494097,0.0001,0.2680191099643707,,
0.05,15600,98.52248916999999,129,803.16,3216,2027877,494469,0.0001,0.2968323230743408,,
0.05,15609,101.80531156,130,786.72,3220,2030479,495119,0.0001,0.2608048915863037,,
0.05,15616,97.99971861,130,771.78,3224,2032351,495587,0.0001,0.5881333351135254,,
0.05,15626,100.90174572000002,130,739.63,3228,2034829,496207,0.0001,0.2789100706577301,,
0.05,15632,103.69995548000001,130,729.27,3232,2036846,496711,0.0001,0.29127901792526245,,
0.05,15645,105.80442902,130,717.02,3236,2039885,497471,0.0001,0.5746796727180481,,
0.05,15654,107.90184468,130,689.61,3240,2042048,498011,0.0001,0.14191555976867676,,
0.05,15667,107.77925518,130,681.1,3244,2044481,498620,0.0001,0.7453164458274841,,
0.05,15699,103.40259643000002,130,706.83,3248,2050019,500004,0.0001,0.5092387199401855,,
0.05,15706,98.92679125000001,130,698.92,3252,2051756,500438,0.0001,1.352887511253357,,
0.05,15709,93.93556101999998,130,672.81,3256,2052723,500680,0.0001,0.24289897084236145,,
0.05,15724,93.53538552999999,130,656.69,3260,2056087,501521,0.0001,0.30301523208618164,,
